station,x,y,element,value,anomaly,anom_type,geometry,SIGLA,NOME,LITOTIPOS,LEGENDA
SQ-0020A,339604,7952821,Ba (ppm),3.1550322287909704,3.0493555305069178,1,POINT (-46.5194097946493 -18.50902646922159),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
SQ-0021,337232,7952778,Ba (ppm),3.2430380486862944,3.0493555305069178,1,POINT (-46.5418769556202 -18.50923317709217),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
SQ-0024,335287,7949753,Ba (ppm),3.073351702386901,3.0493555305069178,1,POINT (-46.56054457765252 -18.53641231823644),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
EC-0122,281044,7961773,Be (ppm),1.0,0.9665762445130504,1,POINT (-47.07293714232791 -18.42290256247098),Q1di,Unidade Depósitos detríticos indiferenciados,"Areia, Argila, Siltito","Cobertura detrítica inconsolidada, formada por uma seqüência arenosa de paleoterraços dominados inteiramente por seixos arredondados, bem classificados, além de bolsões e camadas de areia grossa a media, entremeados por níveis de argila. Localment"
MR0046,253953,7945025,Be (ppm),1.0128372247051722,0.9665762445130504,1,POINT (-47.33131646927208 -18.57117625027922),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
SM-0149,297667,7901720,Be (ppm),1.0043213737826426,0.9665762445130504,1,POINT (-46.92174109504214 -18.96700684737276),Q2a,Depósitos aluvionares,"Areia, Areia arcoseana, Argila, Cascalho, Conglomerado polimítico, Silte","Sedimentos sreno-argilosos aluvionares inconsolidados,  finos a médios, com cores variegadas, restos de matéria orgânica e presença de  de seixos, areias finas a grossas, com níveis de cascalhos, lentes de material silto-argiloso e restos de matéri"
SM-0151,299434,7900851,Be (ppm),1.484299839346786,0.9665762445130504,1,POINT (-46.90505439722192 -18.97502955948863),Q1di,Unidade Depósitos detríticos indiferenciados,"Areia, Argila, Siltito","Cobertura detrítica inconsolidada, formada por uma seqüência arenosa de paleoterraços dominados inteiramente por seixos arredondados, bem classificados, além de bolsões e camadas de areia grossa a media, entremeados por níveis de argila. Localment"
BM0021,261042,7914599,Ce (ppm),2.9234201882926025,2.800550140346533,1,POINT (-47.26784699160262 -18.84676737919506),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0030A,243046,7927051,Ce (ppm),2.923787841731059,2.800550140346533,1,POINT (-47.43691012775793 -18.73217277976431),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
MR-0207,308152,7915221,Cr (ppm),3.041787318971752,2.9628251167766484,1,POINT (-46.82087331301969 -18.8460559467665),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
