station;x;y;element;value;anomaly;anom_type
EC-0122;281044;7961773;Al (%);0.884795363948981;0.823883156252428;2
BM0014;238782;7911968;Al (%);0.8674674878590515;0.823883156252428;2
BM0028;236767;7925246;Al (%);0.8943160626844384;0.823883156252428;2
BM-0174;332011;7908847;Al (%);0.9722028383790645;0.823883156252428;2
EC-0124;321352;7910059;Al (%);0.9400181550076633;0.823883156252428;2
EC-0128;318355;7912840;Al (%);0.9885589568786155;0.823883156252428;2
JR-0103;339640;7901622;Al (%);0.9872192299080049;0.823883156252428;2
MR-0210A;305888;7907352;Al (%);1.0449315461491602;0.823883156252428;2
MR-0228;301640;7932287;Al (%);0.8286598965353198;0.823883156252428;2
SM-0165;309186;7950084;Al (%);0.9324737646771533;0.823883156252428;2
SQ-0002;294556;7913169;Al (%);1.0038911662369105;0.823883156252428;2
SQ-0007;294791;7906236;Al (%);0.8802417758954804;0.823883156252428;2
SQ-0015;289975;7901686;Al (%);0.9656719712201067;0.823883156252428;2
BM-0144;242379;7965458;As (ppm);1.5797835966168101;1.542043085400365;2
BM0029;245062;7927510;As (ppm);1.591064607026499;1.542043085400365;2
MR0002;267329;7921159;As (ppm);1.6127838567197355;1.542043085400365;2
EC-0121;268495;7959156;Ba (ppm);2.6434526764861874;2.5930380488316622;2
SM-0107;251216;7962685;Ba (ppm);2.6273658565927325;2.5930380488316622;2
MR-0142;322906;7956962;Ba (ppm);2.6919651027673606;2.5930380488316622;2
SM-0076;335692;7960900;Ba (ppm);2.7831886910752575;2.5930380488316622;2
SM-0079;340598;7961090;Ba (ppm);2.7403626894942437;2.5930380488316622;2
SM-0080A;337500;7955475;Ba (ppm);2.690196080028514;2.5930380488316622;2
SM-0081;341500;7954550;Ba (ppm);2.677606952720493;2.5930380488316622;2
SM-0082;338210;7956718;Ba (ppm);2.603144372620182;2.5930380488316622;2
SM-0083;339758;7955762;Ba (ppm);2.8175653695597807;2.5930380488316622;2
SM-0091;324828;7957056;Ba (ppm);2.7101173651118162;2.5930380488316622;2
SM-0092;326185;7954418;Ba (ppm);2.667452952889954;2.5930380488316622;2
AC-0052;310238;7898780;Ba (ppm);2.8915374576725643;2.5930380488316622;2
AC-0053;309060;7900408;Ba (ppm);2.6866362692622934;2.5930380488316622;2
AC-0054;308226;7898727;Ba (ppm);2.7315887651867388;2.5930380488316622;2
BM-0180A;327316;7953453;Ba (ppm);2.816241299991783;2.5930380488316622;2
JR-0012;316181;7911430;Ba (ppm);2.6757783416740852;2.5930380488316622;2
LG-0033;315790;7904888;Ba (ppm);2.663700925389648;2.5930380488316622;2
MR-0214;315478;7932620;Ba (ppm);2.6464037262230695;2.5930380488316622;2
SM-0174;312050;7949144;Ba (ppm);2.845098040014257;2.5930380488316622;2
SQ-0018;339477;7948268;Ba (ppm);2.8102325179950842;2.5930380488316622;2
SQ-0020A;339604;7952821;Ba (ppm);3.1550322287909704;3.0493555305069178;1
SQ-0021;337232;7952778;Ba (ppm);3.2430380486862944;3.0493555305069178;1
SQ-0024;335287;7949753;Ba (ppm);3.073351702386901;3.0493555305069178;1
